GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031421200,-395.0,1430.0,-2.0,-98500.0,59.0,18286.0,19716.0,-2.6232223102151653
17031430101,-1470.0,4153.0,145.0,-95300.0,-156.0,28608.0,32761.0,-0.8149994033996665
17031430200,420.0,7318.0,262.0,179600.0,384.0,20738.0,28056.0,2.6960338201969702
17031430300,48.0,-1072.0,173.0,-27300.0,76.0,27471.0,26399.0,-1.5710774988415952
17031430400,-113.5412316013444,4327.338305334655,46.47848000554745,-46999.78722705392,44.14890456604174,32900.661694665345,37228.0,-1.9064456077792542
17031430500,-156.0,991.0,224.0,26900.0,119.0,20982.0,21973.0,-0.015523233819532772
17031430600,724.0,27639.0,-5.0,-6500.0,39.0,31161.0,58800.0,-1.2217006191548583
17031430800,-307.0,12473.0,107.0,-11500.0,146.0,33185.0,45658.0,-0.05336533924540646
17031430900,137.0,11220.0,4.0,-20100.0,-2.0,28728.0,39948.0,-1.7210350337899927
17031431200,-278.0,2133.0,291.0,-7500.0,-22.0,47568.0,49701.0,-0.3643708971832273
17031431301,591.0,6667.0,81.0,-89200.0,120.0,24622.0,31289.0,-3.0329714269342363
17031431302,31.0,4639.0,90.0,83700.0,116.0,21750.0,26389.0,0.2170909253774428
17031440101,-28.114315728407743,1175.5679829203218,131.00684650501591,,-109.32621505865262,22449.43201707968,23625.0,
17031440102,-43.0,14870.0,45.0,38100.0,318.0,26250.0,41120.0,0.6506768901143838
17031440201,351.0,12568.0,111.0,34000.0,305.0,22654.0,35222.0,0.12818809632925043
17031440202,-639.0,3903.0,53.0,-38800.0,149.0,27461.0,31364.0,-0.7619213144011978
17031440300,-500.0,16874.0,-30.0,-30300.0,31.0,42254.0,59128.0,-0.6593222569653723
17031440700,-501.0,18046.0,134.0,-68300.0,147.0,47857.0,65903.0,-0.1403401443664343
17031440800,-61.0,372.0,208.0,-29400.0,-72.0,26613.0,26985.0,-1.5955952432213931
17031440900,-648.0,-5268.0,131.0,-7200.0,230.0,41806.0,36538.0,-0.32898846370796
17031450300,-164.0,12724.0,125.0,-9200.0,10.0,37298.0,50022.0,-0.4884691166445042
17031460200,-380.0,-6273.0,87.0,-61600.0,99.0,30536.0,24263.0,-2.112403888275067
17031460301,-131.0,252.0,110.0,-18300.0,-47.0,33934.0,34186.0,-1.6907800042739363
17031460302,-667.0,14764.0,47.0,9500.0,195.0,17121.0,31885.0,0.790714849991319
17031460400,-393.0,8844.0,134.0,-12700.0,-179.0,39698.0,48542.0,-0.9264282679446308
17031460800,-917.0,-16377.0,-781.0,-185400.0,90.0,44660.0,28283.0,-7.552493934805925
17031461000,-37.0,-3400.0,116.0,52300.0,2.0,19625.0,16225.0,-0.8610057108958226
17031470100,-1252.0,8220.0,111.0,-38800.0,136.0,31391.0,39611.0,0.6002806105664809
17031480500,-351.9245958743832,4208.511341868449,302.63410289345336,-9080.29966456155,-30.35542701696428,44835.48865813155,49044.0,-0.12109251352925132
