GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031600400,-477.0,11174.0,771.0,250.0,38000.0,494.0,41543.0,52717.0,2.2223977142453624
17031600600,609.0,4888.0,828.0,88.0,94300.0,116.0,33678.0,38566.0,-0.6174358850328843
17031600700,373.0,17598.0,752.0,482.0,95100.0,404.0,33563.0,51161.0,3.1695162856437262
17031600900,-145.0,21395.0,761.0,321.0,13500.0,264.0,39725.0,61120.0,1.8456942246152335
17031610300,571.0,537.0,651.0,117.0,-41600.0,243.0,29330.0,29867.0,-2.3636693850776256
17031610400,17.0,12094.0,635.0,184.0,-97400.0,98.0,30424.0,42518.0,-1.673637515121969
17031611200,-96.0,-5014.0,762.0,-15.0,-58100.0,22.0,34875.0,29861.0,-3.2246094539327266
17031611300,-486.0,5065.0,784.0,87.0,-61800.0,-39.0,26685.0,31750.0,-1.730244493087974
17031611400,-1036.0,13886.0,671.0,124.0,-77700.0,-33.0,24031.0,37917.0,-0.41441106086695156
17031611500,-715.570148384189,1669.4302846244536,785.4515138572607,23.548486142739307,-96719.59009827329,-10.086778868390958,32526.569715375543,34196.0,-2.3709222381399995
17031611700,-294.5530414921964,-14607.6487704606,858.8299657403883,-85.82996574038827,-70667.39855348304,-34.99010277883517,27028.6487704606,12421.0,-4.248307555545914
17031611900,-912.0,-2641.0,892.0,-128.0,,-70.0,32849.0,30208.0,
17031612100,-593.0,-7104.0,679.0,69.0,-80700.0,-49.0,28632.0,21528.0,-2.775056690555978
17031620200,-337.0,3953.0,843.0,205.0,-73700.0,18.0,44699.0,48652.0,-1.4790657375078655
17031630300,-112.0,16193.0,706.0,162.0,-50200.0,277.0,36980.0,53173.0,-0.19335953421728286
17031630400,-853.0,-7954.0,850.0,-19.0,-63500.0,11.0,39383.0,31429.0,-2.4885801984933646
17031630500,-62.0,2046.0,799.0,11.0,-40700.0,324.0,40771.0,42817.0,-1.66860180086517
17031630800,-188.0,16249.0,787.0,-30.0,-45000.0,119.0,36854.0,53103.0,-1.3197505850116817
17031630900,-598.0,-117.0,780.0,47.0,-33600.0,-94.0,34992.0,34875.0,-1.8393083846370675
17031640100,246.0,-4566.0,743.0,252.0,-91400.0,136.0,46941.0,42375.0,-2.5956192400004676
